FileName: C:\Users\Rizzz\Downloads\Rs4081_YN2018D.fa.aln
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","donor","Rs4081"
"Ref","recipient sister","YN2018C"
"Query","recipient"


"CenterPos","donor","recipient sister"
"101","1.00","0.99"
"121","1.00","0.99"
"141","1.00","0.99"
"161","1.00","0.99"
"181","1.00","0.99"
"201","1.00","0.99"
"221","1.00","0.99"
"241","1.00","0.99"
"261","1.00","0.99"
"281","1.00","0.99"
"301","1.00","0.99"
"321","1.00","1.00"
"341","1.00","1.00"
"361","1.00","1.00"
"381","1.00","1.00"
"401","1.00","1.00"
"421","1.00","1.00"
"441","1.00","0.99"
"461","1.00","0.99"
"481","1.00","0.99"
"501","1.00","0.98"
"521","1.00","0.98"
"541","1.00","0.98"
"561","1.00","0.98"
"581","1.00","0.98"
"601","1.00","0.98"
"621","1.00","0.98"
"641","1.00","0.98"
"661","1.00","0.99"
"681","1.00","0.99"
"701","1.00","0.99"
"721","0.99","0.99"
"741","0.99","0.99"
"761","0.99","0.99"
"781","0.99","0.98"
"801","0.99","0.98"
"821","0.99","0.98"
"841","0.99","0.98"
"861","0.99","0.98"
"881","0.98","0.98"
"901","0.98","0.98"
"921","0.98","0.98"
"941","0.98","0.98"
"961","0.98","0.98"
"981","0.98","0.99"
"1001","0.98","0.99"
"1021","0.98","0.99"
"1041","0.98","0.99"
"1061","0.98","0.99"
"1081","0.99","1.00"
"1101","0.98","1.00"
"1121","0.98","1.00"
"1141","0.98","1.00"
"1161","0.99","1.00"
"1181","0.98","1.00"
"1201","0.98","1.00"
"1221","0.97","1.00"
"1241","0.97","1.00"
"1261","0.96","1.00"
"1281","0.97","1.00"
"1301","0.96","1.00"
"1321","0.96","1.00"
"1341","0.96","1.00"
"1361","0.96","1.00"
"1381","0.97","1.00"
"1401","0.97","1.00"
"1421","0.98","1.00"
"1441","0.98","1.00"
"1461","0.98","1.00"
"1481","0.98","1.00"
"1501","0.99","1.00"
"1521","0.98","1.00"
"1541","0.98","1.00"
"1561","0.98","1.00"
"1581","0.97","1.00"
"1601","0.97","1.00"
"1621","0.97","0.99"
"1641","0.97","0.99"
"1661","0.97","0.99"
"1681","0.97","0.99"
"1701","0.97","0.99"
"1721","0.97","0.99"
"1741","0.96","0.99"
"1761","0.97","0.99"
"1781","0.97","0.99"
"1801","0.97","0.99"
"1821","0.97","0.99"
"1841","0.97","0.99"
"1861","0.97","0.99"
"1881","0.97","0.99"
"1901","0.97","0.99"
"1921","0.96","0.99"
"1941","0.97","0.98"
"1961","0.97","0.98"
"1981","0.97","0.98"
"2001","0.96","0.98"
"2021","0.96","0.98"
"2041","0.96","0.98"
"2061","0.96","0.98"
"2081","0.96","0.98"
"2101","0.97","0.98"
"2121","0.98","0.98"
"2141","0.98","0.99"
"2161","0.97","1.00"
"2181","0.97","1.00"
"2201","0.98","1.00"
"2221","0.98","1.00"
"2241","0.98","1.00"
"2261","0.99","1.00"
"2281","0.99","1.00"
"2301","0.99","1.00"
"2321","0.99","1.00"
"2341","0.99","1.00"
"2361","0.99","1.00"
"2381","1.00","1.00"
"2401","1.00","1.00"
"2421","1.00","1.00"
"2441","1.00","1.00"
"2461","1.00","1.00"
"2481","0.99","1.00"
"2501","0.99","1.00"
"2521","0.98","0.99"
"2541","0.98","0.99"
"2561","0.97","0.99"
"2581","0.96","0.98"
"2601","0.96","0.98"
"2621","0.96","0.98"
"2641","0.96","0.98"
"2661","0.96","0.98"
"2681","0.97","0.98"
"2701","0.97","0.98"
"2721","0.97","0.98"
"2741","0.98","0.98"
"2761","0.99","0.98"
"2781","0.99","0.99"
"2801","0.99","0.99"
"2821","0.99","0.99"
"2841","0.99","0.99"
"2861","0.99","0.98"
"2881","0.99","0.99"
"2901","0.99","0.99"
"2921","0.99","0.99"
"2941","0.99","0.99"
"2961","0.98","0.99"
"2981","0.99","0.99"
"3001","0.98","0.99"
"3021","0.98","0.99"
"3041","0.98","0.99"
"3061","0.98","0.99"
"3081","0.98","0.99"
"3101","0.98","0.99"
"3121","0.98","0.99"
"3141","0.98","0.99"
"3161","0.97","0.99"
"3181","0.96","0.99"
"3201","0.97","0.99"
"3221","0.97","0.99"
"3241","0.97","0.99"
"3261","0.96","1.00"
"3281","0.96","1.00"
"3301","0.97","1.00"
"3321","0.97","1.00"
"3341","0.96","1.00"
"3361","0.98","1.00"
"3381","0.99","1.00"
"3401","0.97","1.00"
"3421","0.97","1.00"
"3441","0.96","1.00"
"3461","0.97","1.00"
"3481","0.97","1.00"
"3501","0.97","1.00"
"3521","0.97","1.00"
"3541","0.97","1.00"
"3561","0.97","1.00"
"3581","0.96","1.00"
"3601","0.97","1.00"
"3621","0.97","1.00"
"3641","0.97","1.00"
"3661","0.97","1.00"
"3681","0.97","1.00"
"3701","0.97","1.00"
"3721","0.97","1.00"
"3741","0.97","1.00"
"3761","0.97","1.00"
"3781","0.98","1.00"
"3801","0.98","1.00"
"3821","0.98","1.00"
"3841","0.99","1.00"
"3861","0.99","1.00"
"3881","0.99","1.00"
"3901","1.00","1.00"
"3921","1.00","1.00"
"3941","1.00","1.00"
"3961","1.00","1.00"
"3981","1.00","1.00"
"4001","1.00","1.00"
"4021","1.00","1.00"
"4041","1.00","1.00"
"4061","0.99","1.00"
"4081","0.99","1.00"
"4101","0.99","1.00"
"4121","0.99","1.00"
"4141","0.99","1.00"
"4161","0.99","1.00"
"4181","0.99","1.00"
"4201","0.99","1.00"
"4221","0.98","1.00"
"4241","0.98","1.00"
"4261","0.98","1.00"
"4281","0.98","1.00"
"4301","0.98","1.00"
"4321","0.98","1.00"
"4341","0.97","1.00"
"4361","0.97","1.00"
"4381","0.96","1.00"
"4401","0.97","1.00"
"4421","0.97","1.00"
"4441","0.97","1.00"
"4461","0.97","1.00"
"4481","0.98","1.00"
"4501","0.98","1.00"
"4521","0.98","1.00"
"4541","0.99","1.00"
"4561","0.99","1.00"
"4581","0.99","1.00"
"4601","0.99","1.00"
"4621","1.00","1.00"
"4641","1.00","1.00"
"4661","1.00","1.00"
"4681","0.99","1.00"
"4701","0.99","1.00"
"4721","0.99","0.99"
"4741","0.99","0.99"
"4761","0.98","0.99"
"4781","0.98","0.99"
"4801","0.97","0.99"
"4821","0.97","0.99"
"4841","0.97","0.99"
"4861","0.97","0.99"
"4881","0.98","0.99"
"4901","0.98","0.99"
"4921","0.98","1.00"
"4941","0.98","1.00"
"4961","0.98","1.00"
"4981","0.99","1.00"
"5001","0.99","1.00"
"5021","0.99","1.00"
"5041","0.99","1.00"
"5061","0.99","0.99"
"5081","0.99","0.99"
"5101","0.99","0.99"
"5121","0.99","0.99"
"5141","0.99","0.99"
"5161","0.99","0.99"
"5181","0.99","0.99"
"5201","0.99","0.98"
"5221","0.99","0.98"
"5241","0.99","0.98"
"5261","0.99","0.98"
"5281","0.99","0.98"
"5301","0.99","0.97"
"5321","0.99","0.97"
"5341","0.98","0.96"
"5361","0.98","0.96"
"5381","0.98","0.96"
"5401","0.97","0.95"
"5421","0.97","0.95"
"5441","0.97","0.95"
"5461","0.97","0.96"
"5481","0.97","0.96"
"5501","0.97","0.96"
"5521","0.97","0.96"
"5541","0.98","0.98"
"5561","0.97","0.97"
"5581","0.97","0.98"
"5601","0.98","0.99"
"5621","0.98","0.99"
"5641","0.98","0.99"
"5661","0.98","0.98"
"5681","0.98","0.99"
"5701","0.98","0.99"
"5721","0.98","0.99"
"5741","0.97","0.99"
"5761","0.98","0.99"
"5781","0.98","0.99"
"5801","0.98","0.99"
"5821","0.98","0.99"
"5841","0.98","0.99"
"5861","0.99","0.99"
"5881","0.99","0.99"
"5901","0.99","0.99"
"5921","0.98","0.99"
"5941","0.99","0.99"
"5961","0.98","0.99"
"5981","0.98","0.99"
"6001","0.98","0.99"
"6021","0.98","0.99"
"6041","0.98","0.99"
"6061","0.98","0.99"
"6081","0.97","0.98"
"6101","0.97","0.98"
"6121","0.97","0.98"
"6141","0.97","0.98"
"6161","0.97","0.97"
"6181","0.97","0.98"
"6201","0.97","0.98"
"6221","0.97","0.98"
"6241","0.97","0.98"
"6261","0.97","0.98"
"6281","0.98","0.98"
"6301","0.98","0.98"
"6321","0.99","0.99"
"6341","0.99","0.99"
"6361","0.99","0.99"
"6381","0.98","0.99"
"6401","0.98","0.99"
"6421","0.97","0.99"
"6441","0.97","0.98"
"6461","0.96","0.98"
"6481","0.97","0.98"
"6501","0.97","0.98"
"6521","0.96","0.98"
"6541","0.96","0.98"
"6561","0.96","0.98"
"6581","0.96","0.96"
"6601","0.95","0.96"
"6621","0.95","0.96"
"6641","0.94","0.96"
"6661","0.94","0.96"
"6681","0.94","0.96"
"6701","0.94","0.96"
"6721","0.94","0.96"
"6741","0.93","0.96"
"6761","0.93","0.96"
"6781","0.94","0.98"
"6801","0.96","0.98"
"6821","0.96","0.98"
"6841","0.97","0.99"
"6861","0.98","0.99"
"6881","0.98","1.00"
"6901","0.98","0.99"
"6921","0.98","0.99"
"6941","0.99","0.99"
"6961","0.99","0.99"
