
"CenterPos","recipient sister","donor"
"101","1.00","0.99"
"121","1.00","0.99"
"141","1.00","0.99"
"161","1.00","0.99"
"181","1.00","0.99"
"201","1.00","0.98"
"221","1.00","0.98"
"241","1.00","0.98"
"261","1.00","0.98"
"281","1.00","0.97"
"301","1.00","0.97"
"321","1.00","0.96"
"341","1.00","0.95"
"361","1.00","0.95"
"381","1.00","0.95"
"401","1.00","0.95"
"421","1.00","0.90"
"441","1.00","0.89"
"461","1.00","0.88"
"481","0.99","0.87"
"501","0.99","0.87"
"521","0.99","0.87"
"541","0.99","0.87"
"561","0.99","0.87"
"581","0.99","0.86"
"601","0.99","0.87"
"621","0.99","0.92"
"641","0.99","0.94"
"661","0.98","0.95"
"681","0.99","0.94"
"701","0.99","0.94"
"721","0.99","0.93"
"741","0.98","0.93"
"761","0.98","0.92"
"781","0.98","0.90"
"801","0.98","0.90"
"821","0.98","0.90"
"841","0.98","0.89"
"861","0.98","0.89"
"881","0.97","0.90"
"901","0.96","0.88"
"921","0.96","0.89"
"941","0.97","0.87"
"961","0.97","0.89"
"981","0.97","0.91"
"1001","0.97","0.91"
"1021","0.96","0.90"
"1041","0.96","0.91"
"1061","0.95","0.90"
"1081","0.96","0.91"
"1101","0.96","0.92"
"1121","0.96","0.91"
"1141","0.96","0.93"
"1161","0.96","0.93"
"1181","0.97","0.93"
"1201","0.96","0.92"
"1221","0.96","0.92"
"1241","0.96","0.90"
"1261","0.96","0.90"
"1281","0.97","0.90"
"1301","0.96","0.91"
"1321","0.96","0.93"
"1341","0.94","0.93"
"1361","0.94","0.93"
"1381","0.94","0.93"
"1401","0.95","0.93"
"1421","0.96","0.94"
"1441","0.96","0.94"
"1461","0.96","0.94"
"1481","0.96","0.93"
"1501","0.98","0.93"
"1521","0.98","0.91"
"1541","0.99","0.90"
"1561","0.99","0.89"
"1581","0.98","0.88"
"1601","0.97","0.89"
"1621","0.97","0.88"
"1641","0.97","0.89"
"1661","0.97","0.86"
"1681","0.96","0.86"
"1701","0.96","0.84"
"1721","0.95","0.84"
"1741","0.95","0.83"
"1761","0.95","0.80"
"1781","0.96","0.80"
"1801","0.96","0.79"
"1821","0.96","0.77"
"1841","0.96","0.78"
"1861","0.96","0.79"
"1881","0.96","0.79"
"1901","0.96","0.80"
"1921","0.97","0.81"
"1941","0.96","0.80"
"1961","0.95","0.84"
"1981","0.95","0.84"
"2001","0.96","0.83"
"2021","0.95","0.83"
"2041","0.96","0.80"
"2061","0.95","0.78"
"2081","0.95","0.78"
"2101","0.95","0.80"
"2121","0.96","0.80"
"2141","0.96","0.77"
"2161","0.98","0.77"
"2181","0.97","0.77"
"2201","0.97","0.78"
"2221","0.98","0.80"
"2241","0.97","0.84"
"2261","0.97","0.84"
"2281","0.98","0.86"
"2301","0.97","0.86"
"2321","0.96","0.86"
"2341","0.96","0.88"
"2361","0.96","0.88"
"2381","0.96","0.87"
"2401","0.96","0.87"
"2421","0.96","0.86"
"2441","0.97","0.84"
"2461","0.96","0.87"
"2481","0.96","0.86"
"2501","0.96","0.83"
"2521","0.96","0.82"
"2541","0.96","0.82"
"2561","0.95","0.80"
"2581","0.95","0.81"
"2601","0.94","0.79"
"2621","0.94","0.79"
"2641","0.93","0.76"
"2661","0.93","0.74"
"2681","0.93","0.72"
"2701","0.94","0.74"
"2721","0.94","0.75"
"2741","0.94","0.75"
"2761","0.95","0.77"
"2781","0.96","0.75"
"2801","0.96","0.78"
"2821","0.96","0.79"
"2841","0.97","0.80"
"2861","0.97","0.81"
"2881","0.97","0.83"
"2901","0.97","0.84"
"2921","0.97","0.83"
"2941","0.97","0.83"
"2961","0.97","0.84"
"2981","0.97","0.82"
"3001","0.96","0.78"
"3021","0.97","0.74"
"3041","0.96","0.74"
"3061","0.97","0.73"
"3081","0.97","0.75"
"3101","0.97","0.75"
"3121","0.97","0.74"
"3141","0.97","0.71"
"3161","0.96","0.70"
"3181","0.97","0.74"
"3201","0.97","0.79"
"3221","0.97","0.84"
"3241","0.98","0.87"
"3261","0.97","0.88"
"3281","0.96","0.88"
"3301","0.96","0.88"
"3321","0.95","0.89"
"3341","0.96","0.93"
"3361","0.96","0.93"
"3381","0.96","0.94"
"3401","0.97","0.90"
"3421","0.97","0.89"
"3441","0.96","0.88"
"3461","0.97","0.87"
"3481","0.98","0.88"
"3501","0.98","0.88"
"3521","0.99","0.86"
"3541","0.99","0.83"
"3561","0.99","0.85"
"3581","0.99","0.85"
"3601","0.99","0.87"
"3621","0.99","0.87"
"3641","1.00","0.87"
"3661","1.00","0.85"
"3681","1.00","0.83"
"3701","1.00","0.81"
"3721","1.00","0.82"
"3741","1.00","0.83"
"3761","1.00","0.78"
"3781","1.00","0.74"
"3801","1.00","0.74"
"3821","0.99","0.74"
"3841","0.99","0.74"
"3861","0.99","0.79"
"3881","0.99","0.78"
"3901","0.99","0.80"
"3921","0.99","0.79"
"3941","0.99","0.80"
"3961","0.99","0.83"
"3981","0.99","0.87"
"4001","0.99","0.87"
"4021","1.00","0.86"
"4041","1.00","0.86"
"4061","1.00","0.84"
