FileName: C:\Users\Rizzz\Downloads\Rp3_Rm1.fa.aln
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","donor","Rp3"
"Ref","recipient sister","SC2018"
"Query","recipient"


"CenterPos","donor","recipient sister"
"101","0.96","0.96"
"121","0.95","0.95"
"141","0.95","0.95"
"161","0.95","0.95"
"181","0.95","0.96"
"201","0.95","0.96"
"221","0.95","0.95"
"241","0.95","0.96"
"261","0.94","0.97"
"281","0.93","0.95"
"301","0.92","0.95"
"321","0.90","0.95"
"341","0.89","0.93"
"361","0.86","0.89"
"381","0.86","0.89"
"401","0.84","0.86"
"421","0.81","0.85"
"441","0.78","0.85"
"461","0.78","0.83"
"481","0.79","0.84"
"501","0.80","0.84"
"521","0.81","0.84"
"541","0.81","0.86"
"561","0.84","0.89"
"581","0.82","0.89"
"601","0.86","0.92"
"621","0.88","0.92"
"641","0.91","0.93"
"661","0.93","0.95"
"681","0.93","0.95"
"701","0.92","0.94"
"721","0.93","0.94"
"741","0.93","0.94"
"761","0.94","0.94"
"781","0.95","0.93"
"801","0.94","0.93"
"821","0.95","0.93"
"841","0.95","0.93"
"861","0.94","0.92"
"881","0.93","0.93"
"901","0.93","0.94"
"921","0.92","0.94"
"941","0.91","0.93"
"961","0.90","0.92"
"981","0.89","0.92"
"1001","0.89","0.91"
"1021","0.89","0.91"
"1041","0.89","0.91"
"1061","0.89","0.92"
"1081","0.90","0.90"
"1101","0.92","0.87"
"1121","0.93","0.89"
"1141","0.94","0.90"
"1161","0.95","0.90"
"1181","0.93","0.89"
"1201","0.94","0.90"
"1221","0.93","0.89"
"1241","0.92","0.90"
"1261","0.92","0.89"
"1281","0.90","0.90"
"1301","0.88","0.91"
"1321","0.87","0.90"
"1341","0.85","0.87"
"1361","0.85","0.89"
"1381","0.87","0.90"
"1401","0.86","0.89"
"1421","0.86","0.89"
"1441","0.87","0.89"
"1461","0.86","0.87"
"1481","0.87","0.89"
"1501","0.87","0.89"
"1521","0.86","0.88"
"1541","0.86","0.89"
"1561","0.86","0.86"
"1581","0.85","0.84"
"1601","0.85","0.83"
"1621","0.83","0.83"
"1641","0.80","0.81"
"1661","0.81","0.81"
"1681","0.79","0.80"
"1701","0.81","0.79"
"1721","0.76","0.73"
"1741","0.77","0.74"
"1761","0.74","0.75"
"1781","0.73","0.74"
"1801","0.74","0.77"
"1821","0.75","0.76"
"1841","0.76","0.77"
"1861","0.75","0.75"
"1881","0.75","0.75"
"1901","0.76","0.78"
"1921","0.82","0.82"
"1941","0.83","0.83"
"1961","0.85","0.84"
"1981","0.84","0.85"
"2001","0.81","0.84"
"2021","0.81","0.86"
"2041","0.81","0.86"
"2061","0.81","0.87"
"2081","0.82","0.84"
"2101","0.81","0.81"
"2121","0.80","0.81"
"2141","0.80","0.81"
"2161","0.78","0.81"
"2181","0.79","0.80"
"2201","0.80","0.80"
"2221","0.81","0.77"
"2241","0.83","0.79"
"2261","0.83","0.75"
"2281","0.82","0.76"
"2301","0.81","0.75"
"2321","0.81","0.76"
"2341","0.82","0.77"
"2361","0.82","0.78"
"2381","0.83","0.79"
"2401","0.84","0.78"
"2421","0.82","0.77"
"2441","0.83","0.77"
"2461","0.84","0.80"
"2481","0.84","0.81"
"2501","0.85","0.82"
"2521","0.84","0.84"
"2541","0.84","0.83"
"2561","0.82","0.81"
"2581","0.82","0.82"
"2601","0.82","0.85"
"2621","0.83","0.86"
"2641","0.81","0.86"
"2661","0.81","0.86"
"2681","0.83","0.87"
"2701","0.82","0.89"
"2721","0.83","0.89"
"2741","0.82","0.87"
"2761","0.84","0.89"
"2781","0.83","0.89"
"2801","0.84","0.89"
"2821","0.86","0.90"
"2841","0.87","0.90"
"2861","0.88","0.92"
"2881","0.86","0.92"
"2901","0.86","0.91"
"2921","0.86","0.92"
"2941","0.88","0.92"
"2961","0.88","0.91"
"2981","0.89","0.90"
"3001","0.87","0.87"
"3021","0.86","0.87"
"3041","0.86","0.85"
"3061","0.84","0.84"
"3081","0.84","0.83"
"3101","0.85","0.83"
