FileName: C:\Users\Rizzz\Downloads\Rs9401_Rs7327.fa.aln
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","donor","Rs9401"
"Ref","recipient sister","Anlong-103"
"Query","recipient"


"CenterPos","donor","recipient sister"
"101","1.00","0.98"
"121","1.00","1.00"
"141","1.00","1.00"
"161","0.99","1.00"
"181","0.99","1.00"
"201","0.99","1.00"
"221","0.99","1.00"
"241","0.99","1.00"
"261","0.99","1.00"
"281","0.99","1.00"
"301","0.99","1.00"
"321","0.99","1.00"
"341","0.99","1.00"
"361","1.00","0.99"
"381","1.00","0.99"
"401","1.00","0.99"
"421","0.99","0.98"
"441","0.99","0.98"
"461","0.99","0.98"
"481","0.99","0.98"
"501","0.99","0.98"
"521","0.99","0.98"
"541","0.99","0.98"
"561","0.99","0.98"
"581","0.99","0.98"
"601","0.99","0.98"
"621","0.99","0.99"
"641","0.99","0.99"
"661","0.99","0.98"
"681","0.98","0.98"
"701","0.98","0.98"
"721","0.98","0.97"
"741","0.98","0.97"
"761","0.98","0.96"
"781","0.97","0.96"
"801","0.97","0.95"
"821","0.97","0.95"
"841","0.97","0.95"
"861","0.97","0.96"
"881","0.97","0.96"
"901","0.97","0.96"
"921","0.97","0.97"
"941","0.97","0.97"
"961","0.97","0.98"
"981","0.97","0.98"
"1001","0.98","0.98"
"1021","0.98","0.98"
"1041","0.98","0.99"
"1061","0.98","0.98"
"1081","0.98","0.98"
"1101","0.99","0.98"
"1121","0.99","0.98"
"1141","0.99","0.98"
"1161","0.99","0.98"
"1181","0.99","0.99"
"1201","0.99","0.99"
"1221","0.99","0.99"
"1241","0.99","0.99"
"1261","0.99","0.99"
"1281","1.00","0.99"
"1301","0.99","0.99"
"1321","0.99","0.99"
"1341","0.99","0.98"
"1361","0.99","0.98"
"1381","0.99","0.98"
"1401","0.99","0.97"
"1421","0.98","0.96"
"1441","0.98","0.96"
"1461","0.98","0.96"
"1481","0.97","0.96"
"1501","0.97","0.95"
"1521","0.97","0.96"
"1541","0.97","0.97"
"1561","0.97","0.97"
"1581","0.97","0.96"
"1601","0.97","0.97"
"1621","0.98","0.97"
"1641","0.98","0.96"
"1661","0.98","0.96"
"1681","0.98","0.95"
"1701","0.99","0.95"
"1721","0.99","0.95"
"1741","0.99","0.94"
"1761","0.98","0.94"
"1781","0.98","0.94"
"1801","0.98","0.94"
