FileName: C:\Users\Rizzz\Downloads\Anlong-103_YN2013.fa.aln
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","donor","Anlong-103"
"Query","recipient"
"Ref","recipient sister","Rs4084"


"CenterPos","donor","recipient sister"
"101","1.00","1.00"
"121","1.00","1.00"
"141","1.00","1.00"
"161","1.00","1.00"
"181","1.00","1.00"
"201","1.00","1.00"
"221","1.00","1.00"
"241","1.00","1.00"
"261","1.00","1.00"
"281","1.00","1.00"
"301","1.00","1.00"
"321","1.00","1.00"
"341","1.00","1.00"
"361","1.00","0.99"
"381","0.99","0.99"
"401","0.99","0.99"
"421","0.98","0.98"
"441","0.98","0.98"
"461","0.97","0.97"
"481","0.97","0.97"
"501","0.97","0.96"
"521","0.97","0.96"
"541","0.97","0.96"
"561","0.97","0.97"
"581","0.97","0.97"
"601","0.97","0.97"
"621","0.98","0.97"
"641","0.98","0.97"
"661","0.98","0.98"
"681","0.98","0.98"
"701","0.98","0.98"
"721","0.97","0.96"
"741","0.96","0.95"
"761","0.95","0.94"
"781","0.94","0.94"
"801","0.94","0.94"
"821","0.94","0.94"
"841","0.94","0.94"
"861","0.95","0.94"
"881","0.95","0.94"
"901","0.95","0.94"
"921","0.95","0.96"
"941","0.97","0.97"
"961","0.98","0.97"
"981","0.98","0.97"
"1001","0.98","0.98"
"1021","0.98","0.98"
"1041","0.99","0.98"
"1061","0.99","0.98"
"1081","0.98","0.97"
"1101","0.98","0.97"
"1121","0.98","0.97"
"1141","0.98","0.97"
"1161","0.98","0.98"
"1181","0.98","0.98"
"1201","0.98","0.98"
"1221","0.96","0.96"
"1241","0.96","0.96"
"1261","0.96","0.96"
"1281","0.96","0.97"
"1301","0.96","0.97"
"1321","0.96","0.97"
"1341","0.95","0.97"
"1361","0.94","0.97"
"1381","0.94","0.97"
"1401","0.94","0.97"
"1421","0.96","0.99"
"1441","0.96","0.99"
"1461","0.96","0.99"
"1481","0.97","0.99"
"1501","0.97","0.99"
"1521","0.98","0.99"
"1541","0.99","0.99"
"1561","0.99","1.00"
"1581","0.99","0.99"
"1601","0.99","0.99"
"1621","0.99","0.98"
"1641","0.99","0.98"
