
"CenterPos","n40","Pangolins"
"101","0.89","0.90"
"121","0.89","0.93"
"141","0.90","0.94"
"161","0.90","0.93"
"181","0.91","0.93"
"201","0.90","0.94"
"221","0.92","0.95"
"241","0.92","0.94"
"261","0.89","0.94"
"281","0.87","0.94"
"301","0.85","0.96"
"321","0.84","0.94"
"341","0.83","0.93"
"361","0.81","0.90"
"381","0.80","0.90"
"401","0.80","0.88"
"421","0.74","0.87"
"441","0.71","0.86"
"461","0.71","0.85"
"481","0.71","0.84"
"501","0.72","0.82"
"521","0.70","0.82"
"541","0.70","0.82"
"561","0.73","0.84"
"581","0.72","0.83"
"601","0.73","0.83"
"621","0.77","0.83"
"641","0.79","0.82"
"661","0.79","0.82"
"681","0.81","0.83"
"701","0.82","0.83"
"721","0.83","0.84"
"741","0.84","0.85"
"761","0.84","0.86"
"781","0.85","0.87"
"801","0.84","0.87"
"821","0.80","0.85"
"841","0.81","0.87"
"861","0.79","0.89"
"881","0.81","0.89"
"901","0.83","0.90"
"921","0.81","0.90"
"941","0.78","0.90"
"961","0.73","0.90"
"981","0.72","0.89"
"1001","0.72","0.89"
"1021","0.73","0.90"
"1041","0.71","0.89"
"1061","0.74","0.88"
"1081","0.70","0.89"
"1101","0.65","0.88"
"1121","0.67","0.88"
"1141","0.65","0.87"
"1161","0.68","0.87"
"1181","0.68","0.87"
"1201","0.68","0.87"
"1221","0.71","0.86"
"1241","0.68","0.83"
"1261","0.65","0.82"
"1281","0.67","0.81"
"1301","0.68","0.82"
"1321","0.68","0.82"
"1341","0.71","0.82"
"1361","0.67","0.81"
"1381","0.63","0.83"
"1401","0.60","0.81"
"1421","0.61","0.82"
"1441","0.66","0.85"
"1461","0.70","0.84"
"1481","0.69","0.83"
"1501","0.67","0.82"
"1521","0.64","0.82"
"1541","0.64","0.82"
"1561","0.62","0.81"
"1581","0.65","0.82"
"1601","0.67","0.84"
"1621","0.66","0.84"
"1641","0.68","0.83"
"1661","0.64","0.85"
"1681","0.63","0.85"
"1701","0.65","0.87"
"1721","0.67","0.87"
"1741","0.67","0.84"
"1761","0.74","0.84"
"1781","0.71","0.83"
"1801","0.72","0.82"
"1821","0.70","0.81"
"1841","0.66","0.83"
"1861","0.63","0.83"
"1881","0.66","0.83"
"1901","0.61","0.81"
"1921","0.59","0.80"
"1941","0.60","0.84"
"1961","0.56","0.79"
"1981","0.56","0.77"
"2001","0.54","0.77"
"2021","0.49","0.76"
"2041","0.45","0.76"
"2061","0.51","0.74"
"2081","0.47","0.74"
"2101","0.50","0.75"
"2121","0.53","0.76"
"2141","0.47","0.74"
"2161","0.44","0.79"
"2181","0.40","0.77"
"2201","0.36","0.75"
"2221","0.35","0.73"
"2241","0.34","0.71"
"2261","0.28","0.72"
"2281","0.28","0.72"
"2301","0.19","0.71"
"2321","0.11","0.70"
"2341","0.17","0.70"
"2361","0.14","0.70"
"2381","0.25","0.75"
"2401","0.31","0.77"
"2421","0.35","0.78"
"2441","0.35","0.76"
"2461","0.40","0.76"
"2481","0.40","0.73"
"2501","0.36","0.70"
"2521","0.34","0.70"
"2541","0.36","0.70"
"2561","0.39","0.71"
"2581","0.39","0.70"
"2601","0.28","0.71"
"2621","0.29","0.72"
"2641","0.35","0.76"
"2661","0.34","0.77"
"2681","0.38","0.78"
"2701","0.53","0.82"
"2721","0.61","0.83"
"2741","0.59","0.82"
"2761","0.62","0.82"
"2781","0.63","0.80"
"2801","0.70","0.77"
"2821","0.72","0.76"
"2841","0.75","0.75"
"2861","0.72","0.75"
