FileName: C:\Users\Rizzz\Downloads\Jiyuan_84_HeB2013.fa.aln
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","donor","Jiyuan_84"
"Ref","recipient sister","16BO133"
"Query","recipient"


"CenterPos","donor","recipient sister"
"101","1.00","1.00"
"121","1.00","1.00"
"141","1.00","1.00"
"161","1.00","1.00"
"181","1.00","1.00"
"201","1.00","1.00"
"221","1.00","1.00"
"241","1.00","1.00"
"261","1.00","1.00"
"281","0.99","1.00"
"301","0.99","1.00"
"321","0.99","1.00"
"341","0.99","1.00"
"361","0.99","0.99"
"381","0.98","0.99"
"401","0.98","0.99"
"421","0.97","0.99"
"441","0.97","0.99"
"461","0.96","0.99"
"481","0.97","0.99"
"501","0.96","0.99"
"521","0.96","0.98"
"541","0.96","0.98"
"561","0.96","0.98"
"581","0.96","0.97"
"601","0.97","0.97"
"621","0.97","0.97"
"641","0.97","0.97"
"661","0.98","0.97"
"681","0.97","0.97"
"701","0.98","0.97"
"721","0.98","0.98"
"741","0.98","0.99"
"761","0.99","0.99"
"781","0.99","1.00"
"801","0.98","0.99"
"821","0.98","0.99"
"841","0.99","0.99"
"861","0.99","0.99"
"881","0.99","0.99"
"901","0.99","0.99"
"921","0.99","0.99"
"941","0.99","0.98"
"961","0.99","0.98"
"981","0.99","0.98"
"1001","0.99","0.98"
"1021","0.99","0.98"
"1041","0.99","0.98"
"1061","0.99","0.98"
"1081","0.99","0.98"
"1101","0.99","0.98"
"1121","0.99","0.98"
"1141","0.99","0.98"
"1161","0.98","0.97"
"1181","0.98","0.97"
"1201","0.98","0.97"
"1221","0.98","0.97"
"1241","0.97","0.97"
"1261","0.97","0.97"
"1281","0.97","0.97"
"1301","0.97","0.97"
"1321","0.97","0.97"
"1341","0.97","0.97"
"1361","0.97","0.98"
"1381","0.97","0.98"
"1401","0.97","0.98"
"1421","0.97","0.98"
"1441","0.98","0.98"
"1461","0.98","0.98"
"1481","0.98","0.98"
"1501","0.97","0.97"
"1521","0.97","0.97"
"1541","0.98","0.98"
"1561","0.98","0.98"
"1581","0.98","0.98"
"1601","0.98","0.98"
"1621","0.98","0.98"
"1641","0.98","0.98"
"1661","0.98","0.98"
"1681","0.98","0.98"
"1701","0.99","0.99"
"1721","0.99","0.99"
"1741","0.99","0.99"
"1761","0.99","0.99"
"1781","0.99","0.99"
"1801","0.99","0.99"
"1821","0.99","0.98"
"1841","0.99","0.99"
"1861","0.99","0.99"
"1881","0.99","0.99"
"1901","0.99","0.99"
"1921","0.99","0.99"
"1941","0.99","0.99"
"1961","0.99","0.98"
"1981","0.99","0.98"
"2001","0.99","0.97"
"2021","0.99","0.98"
"2041","0.99","0.97"
"2061","0.99","0.97"
"2081","0.99","0.97"
"2101","0.99","0.98"
"2121","0.99","0.98"
"2141","0.99","0.98"
"2161","0.99","0.99"
"2181","0.99","0.99"
"2201","0.99","0.99"
"2221","0.99","0.99"
"2241","0.99","0.99"
"2261","0.99","0.99"
"2281","0.99","0.99"
"2301","0.99","0.98"
"2321","0.99","0.98"
"2341","0.99","0.97"
"2361","0.99","0.97"
"2381","0.99","0.96"
"2401","0.99","0.96"
"2421","1.00","0.97"
"2441","1.00","0.96"
"2461","1.00","0.96"
"2481","0.99","0.97"
"2501","0.99","0.97"
"2521","0.98","0.96"
"2541","0.98","0.96"
"2561","0.98","0.96"
"2581","0.98","0.97"
"2601","0.98","0.97"
"2621","0.98","0.97"
"2641","0.98","0.97"
"2661","0.98","0.97"
"2681","0.98","0.97"
"2701","0.99","0.97"
"2721","0.99","0.98"
"2741","0.99","0.99"
"2761","0.99","0.99"
"2781","0.99","0.99"
"2801","0.99","0.99"
"2821","0.99","0.99"
"2841","0.99","0.99"
"2861","0.99","0.99"
"2881","0.99","0.99"
"2901","0.99","0.99"
"2921","0.99","0.99"
"2941","1.00","0.99"
"2961","0.99","0.99"
"2981","0.99","0.99"
"3001","0.99","0.99"
"3021","0.98","0.98"
"3041","0.98","0.98"
"3061","0.98","0.98"
"3081","0.98","0.97"
"3101","0.96","0.96"
"3121","0.96","0.96"
"3141","0.96","0.96"
"3161","0.96","0.96"
"3181","0.96","0.96"
"3201","0.96","0.96"
"3221","0.97","0.97"
"3241","0.97","0.98"
"3261","0.97","0.97"
"3281","0.96","0.97"
"3301","0.97","0.98"
"3321","0.97","0.98"
"3341","0.96","0.97"
"3361","0.97","0.97"
"3381","0.97","0.97"
"3401","0.97","0.97"
"3421","0.97","0.97"
"3441","0.97","0.97"
"3461","0.98","0.97"
"3481","0.98","0.97"
"3501","0.98","0.97"
"3521","0.98","0.97"
"3541","0.99","0.97"
"3561","0.99","0.98"
"3581","0.99","0.98"
"3601","0.99","0.97"
"3621","0.99","0.97"
"3641","0.99","0.97"
"3661","0.99","0.98"
"3681","0.99","0.98"
"3701","0.99","0.97"
"3721","1.00","0.98"
"3741","0.99","0.98"
"3761","0.99","0.97"
"3781","0.98","0.97"
"3801","0.98","0.97"
"3821","0.98","0.97"
"3841","0.97","0.96"
"3861","0.97","0.96"
"3881","0.97","0.96"
"3901","0.96","0.97"
"3921","0.96","0.96"
"3941","0.96","0.96"
"3961","0.96","0.97"
"3981","0.97","0.97"
"4001","0.97","0.97"
"4021","0.97","0.97"
"4041","0.98","0.98"
"4061","0.98","0.98"
"4081","0.98","0.98"
"4101","0.99","0.98"
"4121","0.99","0.99"
"4141","0.99","0.99"
"4161","0.99","0.99"
"4181","0.99","0.99"
"4201","0.99","0.99"
"4221","0.98","0.99"
"4241","0.98","0.98"
"4261","0.98","0.98"
"4281","0.98","0.98"
"4301","0.98","0.99"
"4321","0.98","0.98"
"4341","0.98","0.99"
"4361","0.98","0.99"
"4381","0.98","0.98"
"4401","0.97","0.98"
"4421","0.98","0.98"
"4441","0.98","0.98"
"4461","0.98","0.98"
"4481","0.98","0.98"
"4501","0.98","0.98"
"4521","0.98","0.99"
"4541","0.98","0.99"
"4561","0.98","0.98"
"4581","0.99","0.99"
"4601","0.99","0.99"
"4621","0.99","0.99"
"4641","0.99","0.99"
"4661","0.99","0.99"
"4681","0.99","0.99"
"4701","0.99","0.99"
"4721","0.99","0.98"
"4741","0.99","0.98"
"4761","0.99","0.98"
"4781","0.99","0.98"
"4801","0.99","0.98"
"4821","0.99","0.98"
"4841","0.99","0.98"
"4861","0.98","0.97"
"4881","0.98","0.97"
"4901","0.98","0.97"
"4921","0.98","0.98"
"4941","0.97","0.98"
"4961","0.97","0.98"
"4981","0.97","0.97"
"5001","0.97","0.97"
"5021","0.97","0.97"
"5041","0.96","0.97"
"5061","0.96","0.97"
"5081","0.97","0.98"
"5101","0.97","0.98"
"5121","0.97","0.98"
"5141","0.98","0.98"
"5161","0.98","0.98"
"5181","0.97","0.99"
"5201","0.97","0.99"
