FileName: C:\Users\Rizzz\Downloads\n50_n49 (1).aln
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","n50","MT072864","MT040333","MT040336","MT040335","MT040334"
"Query","n49"
"Ref","Zhejiang","MG772933","MG772934"


"CenterPos","n50","Zhejiang"
"101","0.91","0.96"
"121","0.93","0.97"
"141","0.93","0.96"
"161","0.92","0.95"
"181","0.92","0.95"
"201","0.93","0.95"
"221","0.94","0.95"
"241","0.93","0.94"
"261","0.93","0.94"
"281","0.95","0.94"
"301","0.95","0.94"
"321","0.94","0.94"
"341","0.93","0.95"
"361","0.89","0.95"
"381","0.88","0.95"
"401","0.87","0.95"
"421","0.85","0.96"
"441","0.85","0.95"
"461","0.83","0.94"
"481","0.81","0.95"
"501","0.78","0.93"
"521","0.78","0.90"
"541","0.79","0.89"
"561","0.81","0.89"
"581","0.80","0.89"
"601","0.79","0.89"
"621","0.80","0.89"
"641","0.78","0.90"
"661","0.80","0.90"
"681","0.80","0.90"
"701","0.83","0.90"
"721","0.84","0.93"
"741","0.85","0.92"
"761","0.86","0.91"
"781","0.86","0.91"
"801","0.86","0.91"
"821","0.85","0.89"
"841","0.88","0.89"
"861","0.89","0.88"
"881","0.89","0.88"
"901","0.89","0.89"
"921","0.87","0.90"
"941","0.89","0.92"
"961","0.89","0.92"
"981","0.89","0.90"
"1001","0.89","0.90"
"1021","0.89","0.92"
"1041","0.87","0.93"
"1061","0.87","0.94"
"1081","0.88","0.95"
"1101","0.88","0.95"
"1121","0.89","0.94"
"1141","0.87","0.93"
"1161","0.87","0.94"
"1181","0.86","0.93"
"1201","0.88","0.93"
"1221","0.85","0.94"
"1241","0.83","0.93"
"1261","0.83","0.93"
"1281","0.81","0.92"
"1301","0.82","0.92"
"1321","0.82","0.93"
"1341","0.83","0.93"
"1361","0.80","0.92"
"1381","0.81","0.92"
"1401","0.80","0.91"
"1421","0.81","0.91"
"1441","0.82","0.91"
"1461","0.80","0.91"
"1481","0.78","0.90"
"1501","0.78","0.90"
"1521","0.79","0.88"
"1541","0.77","0.87"
"1561","0.80","0.89"
"1581","0.82","0.90"
"1601","0.82","0.91"
"1621","0.83","0.91"
"1641","0.84","0.91"
"1661","0.85","0.92"
"1681","0.87","0.93"
"1701","0.87","0.93"
"1721","0.84","0.93"
"1741","0.84","0.94"
"1761","0.82","0.92"
"1781","0.82","0.89"
"1801","0.81","0.87"
"1821","0.80","0.86"
"1841","0.79","0.85"
"1861","0.80","0.83"
"1881","0.78","0.80"
"1901","0.79","0.79"
"1921","0.81","0.81"
"1941","0.79","0.82"
"1961","0.77","0.83"
"1981","0.77","0.87"
"2001","0.76","0.87"
"2021","0.77","0.90"
"2041","0.74","0.89"
"2061","0.74","0.91"
"2081","0.77","0.93"
"2101","0.73","0.93"
"2121","0.74","0.93"
"2141","0.77","0.93"
"2161","0.78","0.93"
"2181","0.73","0.94"
"2201","0.74","0.95"
"2221","0.72","0.94"
"2241","0.73","0.95"
"2261","0.74","0.95"
"2281","0.73","0.96"
"2301","0.73","0.97"
"2321","0.70","0.96"
"2341","0.70","0.95"
"2361","0.71","0.95"
"2381","0.77","0.95"
"2401","0.77","0.95"
"2421","0.77","0.96"
"2441","0.75","0.96"
"2461","0.75","0.96"
"2481","0.70","0.96"
"2501","0.68","0.95"
"2521","0.72","0.94"
"2541","0.70","0.95"
"2561","0.71","0.96"
"2581","0.71","0.96"
"2601","0.72","0.95"
"2621","0.74","0.95"
"2641","0.77","0.95"
"2661","0.77","0.95"
"2681","0.80","0.95"
"2701","0.83","0.95"
"2721","0.80","0.95"
"2741","0.82","0.95"
"2761","0.80","0.93"
"2781","0.76","0.92"
"2801","0.77","0.91"
"2821","0.76","0.92"
"2841","0.76","0.90"
"2861","0.75","0.90"
"2881","0.74","0.90"
"2901","0.74","0.90"
"2921","0.75","0.91"
"2941","0.73","0.91"
"2961","0.75","0.91"
"2981","0.77","0.91"
"3001","0.74","0.89"
"3021","0.77","0.89"
"3041","0.76","0.90"
"3061","0.75","0.88"
"3081","0.75","0.87"
"3101","0.72","0.85"
"3121","0.72","0.83"
"3141","0.70","0.80"
"3161","0.64","0.76"
"3181","0.60","0.72"
"3201","0.58","0.71"
"3221","0.50","0.65"
"3241","0.46","0.64"
"3261","0.40","0.60"
"3281","0.46","0.61"
"3301","0.51","0.63"
"3321","0.48","0.66"
"3341","0.54","0.69"
"3361","0.60","0.74"
"3381","0.64","0.80"
"3401","0.67","0.84"
"3421","0.69","0.85"
"3441","0.72","0.84"
"3461","0.74","0.87"
"3481","0.73","0.87"
"3501","0.72","0.87"
"3521","0.76","0.87"
"3541","0.76","0.87"
"3561","0.76","0.88"
"3581","0.75","0.85"
"3601","0.77","0.84"
"3621","0.74","0.84"
"3641","0.74","0.85"
"3661","0.73","0.86"
"3681","0.69","0.88"
"3701","0.68","0.88"
"3721","0.67","0.88"
"3741","0.65","0.89"
"3761","0.67","0.90"
"3781","0.65","0.91"
"3801","0.59","0.91"
"3821","0.59","0.92"
"3841","0.53","0.92"
"3861","0.51","0.91"
"3881","0.56","0.91"
"3901","0.58","0.90"
"3921","0.59","0.89"
"3941","0.64","0.87"
"3961","0.60","0.86"
"3981","0.65","0.86"
"4001","0.71","0.89"
"4021","0.70","0.88"
"4041","0.73","0.87"
"4061","0.76","0.88"
"4081","0.70","0.86"
"4101","0.69","0.88"
"4121","0.69","0.89"
"4141","0.64","0.88"
"4161","0.62","0.89"
"4181","0.63","0.89"
"4201","0.61","0.87"
"4221","0.63","0.88"
"4241","0.63","0.90"
"4261","0.61","0.89"
"4281","0.65","0.91"
"4301","0.68","0.90"
"4321","0.69","0.90"
"4341","0.71","0.92"
"4361","0.74","0.92"
"4381","0.72","0.92"
"4401","0.70","0.92"
"4421","0.73","0.92"
"4441","0.73","0.91"
"4461","0.75","0.92"
"4481","0.77","0.90"
"4501","0.74","0.90"
"4521","0.67","0.90"
"4541","0.65","0.89"
"4561","0.65","0.88"
"4581","0.67","0.88"
"4601","0.72","0.88"
"4621","0.71","0.88"
"4641","0.74","0.88"
"4661","0.77","0.87"
"4681","0.76","0.88"
"4701","0.79","0.89"
"4721","0.84","0.88"
"4741","0.86","0.88"
"4761","0.85","0.90"
"4781","0.85","0.91"
"4801","0.82","0.91"
"4821","0.82","0.90"
"4841","0.80","0.90"
"4861","0.78","0.90"
"4881","0.75","0.90"
"4901","0.76","0.89"
"4921","0.77","0.91"
"4941","0.78","0.91"
"4961","0.79","0.91"
"4981","0.80","0.90"
"5001","0.81","0.90"
"5021","0.82","0.93"
"5041","0.79","0.93"
"5061","0.80","0.93"
"5081","0.82","0.93"
"5101","0.82","0.94"
"5121","0.81","0.94"
"5141","0.82","0.94"
"5161","0.81","0.94"
"5181","0.79","0.95"
"5201","0.80","0.95"
"5221","0.80","0.94"
"5241","0.83","0.93"
"5261","0.82","0.93"
"5281","0.83","0.93"
"5301","0.82","0.92"
"5321","0.84","0.91"
"5341","0.81","0.91"
"5361","0.81","0.90"
"5381","0.82","0.90"
"5401","0.82","0.91"
"5421","0.83","0.92"
"5441","0.84","0.93"
"5461","0.86","0.94"
"5481","0.85","0.93"
"5501","0.85","0.95"
"5521","0.85","0.95"
"5541","0.86","0.95"
"5561","0.84","0.95"
"5581","0.83","0.96"
"5601","0.83","0.95"
"5621","0.84","0.95"
"5641","0.83","0.93"
"5661","0.80","0.93"
"5681","0.83","0.94"
"5701","0.84","0.93"
"5721","0.83","0.94"
"5741","0.82","0.93"
"5761","0.82","0.94"
"5781","0.83","0.93"
"5801","0.81","0.92"
"5821","0.80","0.91"
"5841","0.81","0.91"
"5861","0.81","0.91"
"5881","0.81","0.92"
"5901","0.77","0.90"
"5921","0.77","0.90"
"5941","0.77","0.91"
"5961","0.78","0.91"
"5981","0.78","0.90"
"6001","0.78","0.90"
"6021","0.79","0.90"
"6041","0.77","0.91"
"6061","0.76","0.88"
"6081","0.74","0.88"
"6101","0.78","0.89"
"6121","0.81","0.89"
"6141","0.80","0.89"
"6161","0.82","0.88"
"6181","0.80","0.89"
"6201","0.81","0.89"
"6221","0.80","0.89"
"6241","0.80","0.89"
"6261","0.83","0.90"
"6281","0.83","0.89"
"6301","0.83","0.89"
"6321","0.80","0.88"
"6341","0.78","0.88"
"6361","0.80","0.90"
"6381","0.81","0.91"
"6401","0.83","0.92"
"6421","0.83","0.94"
"6441","0.83","0.94"
"6461","0.81","0.93"
"6481","0.82","0.94"
"6501","0.82","0.94"
"6521","0.84","0.95"
"6541","0.83","0.94"
"6561","0.78","0.91"
"6581","0.79","0.89"
"6601","0.78","0.88"
"6621","0.77","0.88"
"6641","0.75","0.88"
"6661","0.72","0.89"
"6681","0.70","0.89"
"6701","0.68","0.90"
"6721","0.66","0.90"
"6741","0.70","0.91"
"6761","0.76","0.93"
"6781","0.76","0.93"
"6801","0.75","0.94"
"6821","0.77","0.94"
"6841","0.78","0.94"
"6861","0.83","0.93"
"6881","0.82","0.92"
"6901","0.81","0.91"
"6921","0.83","0.91"
"6941","0.82","0.89"
"6961","0.81","0.89"
"6981","0.80","0.91"
"7001","0.79","0.89"
"7021","0.79","0.90"
"7041","0.78","0.89"
"7061","0.78","0.90"
"7081","0.80","0.92"
"7101","0.82","0.90"
"7121","0.81","0.91"
"7141","0.83","0.92"
"7161","0.83","0.92"
"7181","0.84","0.92"
"7201","0.86","0.94"
"7221","0.85","0.93"
